id,name,type,latitude,longitude,capacity,operating_hours,features
f1000000-0000-0000-0000-000000000001,푸드스퀘어 한식관,cafeteria,36.1198,128.3471,150,"{""weekday"":""11:00-20:00"",""weekend"":""11:00-14:00""}","{""has_vegetarian"":true,""average_price"":7500}"
f1000000-0000-0000-0000-000000000002,Indu 뷔페 식당,cafeteria,36.1215,128.3497,200,"{""weekday"":""11:30-19:00"",""weekend"":""closed""}","{""buffet_style"":true,""average_price"":8000}"
f1000000-0000-0000-0000-000000000003,단지내 중식당 화성,cafeteria,36.1228,128.3454,80,"{""weekday"":""11:00-21:00"",""weekend"":""11:00-15:00""}","{""has_delivery"":true,""average_price"":9000}"
f1000000-0000-0000-0000-000000000004,밀스밀 간편식 코너,cafeteria,36.1184,128.3508,50,"{""weekday"":""08:00-22:00"",""weekend"":""09:00-18:00""}","{""sandwich_bar"":true,""average_price"":5500}"
f1000000-0000-0000-0000-000000000005,산단 남부 한식뷔페,cafeteria,36.1243,128.3476,180,"{""weekday"":""11:00-18:30"",""weekend"":""closed""}","{""buffet_style"":true,""average_price"":7000}"
f1000000-0000-0000-0000-000000000006,글로벌 푸드코트 A관,cafeteria,36.1191,128.3458,120,"{""weekday"":""10:30-20:30"",""weekend"":""11:00-15:00""}","{""multi_cuisine"":true,""average_price"":8500}"
f1000000-0000-0000-0000-000000000007,스마트밸리 도시락 카페,cafeteria,36.1211,128.3524,40,"{""weekday"":""07:30-19:00"",""weekend"":""closed""}","{""takeout_only"":true,""average_price"":6000}"
f1000000-0000-0000-0000-000000000008,동부 근로자 식당,cafeteria,36.1235,128.3516,160,"{""weekday"":""11:00-19:30"",""weekend"":""11:00-14:00""}","{""has_vegetarian"":true,""average_price"":6500}"
f1000000-0000-0000-0000-000000000009,테크노 그릴 하우스,cafeteria,36.1173,128.3486,90,"{""weekday"":""11:30-21:00"",""weekend"":""12:00-18:00""}","{""grill_menu"":true,""average_price"":11000}"
f1000000-0000-0000-0000-000000000010,혁신센터 지하 구내식당,cafeteria,36.1221,128.3444,250,"{""weekday"":""07:00-20:00"",""weekend"":""closed""}","{""buffet_style"":true,""has_vegetarian"":true,""average_price"":6000}"
f2000000-0000-0000-0000-000000000001,중앙 주차타워 A동,parking,36.1208,128.3486,400,"{""24_7"":true}","{""has_ev_charger"":true,""indoor"":true}"
f2000000-0000-0000-0000-000000000002,지상 남부 주차장,parking,36.1255,128.3461,250,"{""24_7"":true}","{""has_ev_charger"":false,""indoor"":false}"
f2000000-0000-0000-0000-000000000003,서부 복합주차장 B,parking,36.1173,128.3441,300,"{""24_7"":true}","{""has_ev_charger"":true,""indoor"":true}"
f2000000-0000-0000-0000-000000000004,동부 지하주차장 C,parking,36.1231,128.3518,350,"{""24_7"":true}","{""has_ev_charger"":true,""indoor"":true}"
f2000000-0000-0000-0000-000000000005,북부 노상주차장 D,parking,36.1268,128.3474,180,"{""weekday"":""06:00-22:00"",""weekend"":""08:00-20:00""}","{""has_ev_charger"":false,""indoor"":false}"
f2000000-0000-0000-0000-000000000006,혁신센터 지하주차장,parking,36.1220,128.3448,500,"{""24_7"":true}","{""has_ev_charger"":true,""indoor"":true,""valet"":true}"
f2000000-0000-0000-0000-000000000007,스마트밸리 P1 주차장,parking,36.1196,128.3501,220,"{""24_7"":true}","{""has_ev_charger"":false,""indoor"":false}"
f2000000-0000-0000-0000-000000000008,테크노타워 전용주차장,parking,36.1238,128.3494,150,"{""weekday"":""07:00-21:00"",""weekend"":""closed""}","{""has_ev_charger"":true,""indoor"":true,""reserved_only"":true}"
f2000000-0000-0000-0000-000000000009,산단 중앙광장 공용주차장,parking,36.1213,128.3466,600,"{""24_7"":true}","{""has_ev_charger"":true,""indoor"":false}"
